0.0,[0.99997995]
0.01,[0.99997973]
0.02,[0.9999795]
0.03,[0.99997927]
0.04,[0.99997903]
0.05,[0.99997878]
0.06,[0.99997854]
0.07,[0.99997828]
0.08,[0.99997802]
0.09,[0.99997775]
0.1,[0.99997748]
0.11,[0.9999772]
0.12,[0.99997691]
0.13,[0.99997662]
0.14,[0.99997631]
0.15,[0.999976]
0.16,[0.99997569]
0.17,[0.99997536]
0.18,[0.99997502]
0.19,[0.99997468]
0.2,[0.99997432]
0.21,[0.99997396]
0.22,[0.99997358]
0.23,[0.9999732]
0.24,[0.9999728]
0.25,[0.99997239]
0.26,[0.99997197]
0.27,[0.99997154]
0.28,[0.99997109]
0.29,[0.99997062]
0.3,[0.99997015]
0.31,[0.99983795]
0.32,[0.99983792]
0.33,[0.99983792]
0.34,[0.99983792]
0.35000000000000003,[0.99983792]
0.36,[0.99983792]
0.37,[0.99983792]
0.38,[0.99983792]
0.39,[0.99983792]
0.4,[0.99996437]
0.41000000000000003,[0.99996365]
0.42,[0.99996292]
0.43,[0.99996215]
0.44,[0.99996136]
0.45,[0.99996053]
0.46,[0.99995966]
0.47000000000000003,[0.99995876]
0.48,[0.99995781]
0.49,[0.99995682]
0.5,[0.99995579]
0.51,[0.9999547]
0.52,[0.99995356]
0.53,[0.99995236]
0.54,[0.99995109]
0.55,[0.99994976]
0.56,[0.99994835]
0.5700000000000001,[0.99994686]
0.58,[0.99994528]
0.59,[0.9999436]
0.6,[0.99994182]
0.61,[0.99993993]
0.62,[0.9999379]
0.63,[0.99993574]
0.64,[0.99993342]
0.65,[0.99993092]
0.66,[0.99992823]
0.67,[0.99992533]
0.68,[0.99992218]
0.6900000000000001,[0.99991875]
0.7000000000000001,[0.99998255]
0.71,[0.99989839]
0.72,[0.99998078]
0.73,[0.99988788]
0.74,[0.99997861]
0.75,[0.99987731]
0.76,[0.99983793]
0.77,[0.99983792]
0.78,[0.99983792]
0.79,[0.99983792]
0.8,[0.99983792]
0.81,[0.99983792]
0.8200000000000001,[0.99983792]
0.8300000000000001,[0.99983792]
0.84,[0.99983792]
0.85,[0.99986962]
0.86,[0.99978321]
0.87,[0.99983791]
0.88,[0.99988145]
0.89,[0.99975616]
0.9,[0.99979643]
0.91,[0.99971954]
0.92,[0.99976892]
0.93,[0.99980183]
0.9400000000000001,[0.99968378]
